Category (English),Category (Japanese),Activity (English),Activity (Japanese)
Dynamics CRM,Dynamics CRM,Start Workflow,ワークフローの開始
Dynamics CRM,Dynamics CRM,Enable/Disable Auditing,監査の有効化/無効化
Dynamics CRM,Dynamics CRM,Get Audit Records,監査レコードの取得
Email,Email,Create Session,セッションの作成
Email,Email,Send Message,メッセージの送信
Email,Email,Get Message,メッセージの取得
Email,Email,Archive Message,メッセージのアーカイブ
Email,Email,Delete Message,メッセージの削除
Email,Email,Delete Single Message,単一メッセージの削除
Environment Variables,環境変数,Get Environment Variable,環境変数の取得
Environment Variables,環境変数,List Environment Variables,環境変数のリスト化
Environment Variables,環境変数,Set Environment Variable,環境変数の設定
Environment Variables,環境変数,Append,追加
Environment Variables,環境変数,Delete Environment Variable,環境変数の削除
Event Log,イベント ログ,Write to Event Log,イベントログへの書き込む
Excel,Excel,Open/Create Workbook,ブックを開く/作成する
Excel,Excel,Close Workbook,ブックを閉じる
Excel,Excel,Add Worksheet,ワークシートの追加
Excel,Excel,Activate Worksheet,ワークシートをアクティブにする
Excel,Excel,Get Active Worksheet,アクティブなシートの取得
Excel,Excel,Select Cells,セルの選択
Excel,Excel,Get Selected Cell Location,選択セルの場所の取得
Excel,Excel,Get Cells,セルの取得
Excel,Excel,Set Cells,セルの設定
Excel,Excel,Run Macro,マクロの実行
Exchange,Exchange,Create Session,セッションの作成
Exchange,Exchange,End Session,セッションの終了
Exchange,Exchange,Create Object,オブジェクトの作成
Exchange,Exchange,Get Object,オブジェクトの取得
Exchange,Exchange,Modify Object,オブジェクトの変更
Exchange,Exchange,Delete Single Object,単一オブジェクトの削除
Exchange,Exchange,Delete Object,オブジェクトの削除
Exchange,Exchange,Move Single Object,単一オブジェクトの移動
Exchange,Exchange,Move Object,オブジェクトの移動
File System,ファイル システム,Copy,コピー
File System,ファイル システム,Move,移動
File System,ファイル システム,Delete,削除
File System,ファイル システム,Rename,名前の変更
File System,ファイル システム,Get Information,情報の取得
File System,ファイル システム,Update Information,情報の更新
File System,ファイル システム,Empty Recycle Bin,ごみ箱を空にする
File System,ファイル システム,Read from File,ファイルからの読込み
File System,ファイル システム,Write to File,ファイルへの書込み
File System,ファイル システム,Split File,ファイルの分割
File System,ファイル システム,Join File,ファイルの結合
File System,ファイル システム,Dataset to CSV,データセットから CSV
File System,ファイル システム,CSV to Dataset,CSV からデータセット
File System,ファイル システム,Base64 Encode/Decode,Base64 エンコード/デコード
File System,ファイル システム,Create Folder,フォルダーの作成
File System,ファイル システム,Change Folder,フォルダーの変更
File System,ファイル システム,Synchronize Folders,フォルダーの同期
FTP,FTP,Log On,ログイン
FTP,FTP,Log Off,ログオフ
FTP,FTP,Download File,ファイルのダウンロード
FTP,FTP,Upload File,ファイルのアップロード
FTP,FTP,Delete File,ファイルの削除
FTP,FTP,Rename File,ファイル名の変更
FTP,FTP,FXP,
FTP,FTP,Advanced,詳細
FTP,FTP,Create Folder,フォルダーの作成
FTP,FTP,Change Folder,フォルダーの変更
FTP,FTP,Remove Folder,フォルダーの消去
FTP,FTP,Synchronize Folders,フォルダーの同期
HTTP,HTTP,Definition,定義
HTTP,HTTP,Clear,クリア
HTTP,HTTP,Get,
HTTP,HTTP,Post,
HTTP,HTTP,Put,
HTTP,HTTP,Patch,
HTTP,HTTP,Delete,
HTTP,HTTP,Head,
HTTP,HTTP,Trace,
HTTP,HTTP,Options,
If,If,Text,テキスト
If,If,Process,プロセス
If,If,LDAP Object,LDAP オブジェクト
If,If,File Exists,ファイルの存在
If,If,Folder Exists,フォルダーの存在
If,If,File Compare,ファイルの比較
If,If,Else,
If,If,End If,
Image,画像,Crop,クロップ
Image,画像,Flip,反転
Image,画像,Overlay,オーバーレイ
Image,画像,Convert,変換
Image,画像,Capture Image,画像のキャプチャー
Image,画像,Resize,サイズ変更
Image,画像,Rotate,回転
Image,画像,Filter,フィルター
Image,画像,Image Recognition,画像認識
Input,入力,Block Input,入力のブロック
Input,入力,Send Keystrokes,キーストロークの送信
Input,入力,Hold Key,キーのホールド
Input,入力,Release Key,キーのリリース
Input,入力,Move Mouse,マウスの移動
Input,入力,Click Mouse,マウスのクリック
Interactivity,対話機能,Get Text,テキストの取得
Interactivity,対話機能,Set Text,テキストの設定
Interactivity,対話機能,Move Mouse to Object,マウスをオブジェクトに移動
Interactivity,対話機能,Focus Item,アイテムのフォーカス
Interactivity,対話機能,Check,チェックをつける
Interactivity,対話機能,Click,クリック
Interactivity,対話機能,Get Item,アイテムの取得
Interactivity,対話機能,Select Item,アイテムの選択
Interactivity,対話機能,Get Selected List Item,選択したリスト アイテムの取得
Interactivity,対話機能,Select List Item,リストアイテムの選択
Interactivity,対話機能,Get Selected Tree Item,選択したツリー アイテムの取得
JSON OBJECT,JSON オブジェクト,Create,作成
JSON OBJECT,JSON オブジェクト,Set Value,値の設定
JSON OBJECT,JSON オブジェクト,Get Value,値の取得
JSON OBJECT,JSON オブジェクト,Add Field,フィールドの追加
JSON OBJECT,JSON オブジェクト,Remove Field,フィールドの削除
JSON OBJECT,JSON オブジェクト,Add,追加
JSON OBJECT,JSON オブジェクト,Remove Element,要素の削除
JSON OBJECT,JSON オブジェクト,Get Size,サイズの取得
JSON OBJECT,JSON オブジェクト,Text,テキスト
JSON OBJECT,JSON オブジェクト,Decode,デコード
JSON OBJECT,JSON オブジェクト,Encode,エンコード
Label,ラベル,Create,作成
Label,ラベル,Goto,
Loop,Loop,Range,範囲
Loop,Loop,Expression,式
Loop,Loop,Dataset,データセット
Loop,Loop,Array,配列
Loop,Loop,Break,
Loop,Loop,End loop,
Loop,Loop,File,ファイル
Loop,Loop,File Contents,ファイル コンテンツ
Loop,Loop,Process,プロセス
Loop,Loop,Value,値
Loop,Loop,List,リスト
Loop,Loop,List Control,リストコントロール
Loop,Loop,Tree Control,ツリーコントロール
Machine Learning,機械学習,Load Model,モデルのロード
Machine Learning,機械学習,Run Model,モデルの実行
Machine Learning,機械学習,Close Model,モデルのクローズ
Network,ネットワーク,Connect,接続
Network,ネットワーク,Disconnect,切断
Network,ネットワーク,Map Network Drive,ネットワークドライブのマッピング
Network,ネットワーク,Unmap Network Drive,ネットワークドライブのマッピング解除
Network,ネットワーク,Ping,
OCR,OCR,Get Text,テキストの取得
OCR,OCR,Get Word,単語の取得
OCR,OCR,Get Line,行の取得
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Open/Create Workbook,ブックを開く/作成する
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Close Workbook,ブックを閉じる
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Add Worksheet,ワークシートの追加
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Rename Worksheet,ワークシートの名前変更
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Move Worksheet,ワークシートの移動
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Copy Worksheet,ワークシートのコピー
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Delete Worksheet,ワークシートの削除
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Show/Hide Worksheet,ワークシートの表示/非表示
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Activate Worksheet,ワークシートをアクティブにする
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Get Active Sheet,アクティブなシートの取得
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Search,検索
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,List Worksheets,ワークシートのリスト化
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Select Cells,セルの選択
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Get Selected Cell Location,選択セルの場所の取得
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Get Cells,セルの取得
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Set Cells,セルの設定
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Insert Row/Column,行/列の挿入
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Delete Row/Column,行/列の削除
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Auto Fit Row/Column,行/列の自動調整
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Add Hyperlink,ハイパーリンクの追加
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Convert Reference/Location,参照形式/位置形式の変換
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Encryption,暗号化
OpenDocument Spreadsheet (ODS),OpenDocument スプレッドシート,Decryption,復号
PDF,PDF,Create Session,セッションの作成
PDF,PDF,End Session,セッションの終了
PDF,PDF,Create,作成
PDF,PDF,Stamp,スタンプ
PDF,PDF,Extract,抽出
PDF,PDF,Add Header/Footer,ヘッダー/フッターを追加
PDF,PDF,Get PDF Information,PDF 情報の取得
PDF,PDF,Set Field,フィールドの設定
PDF,PDF,Get Field,フィールドの取得
PDF,PDF,Get Field Value,フィールド値の取得
PDF,PDF,Disable Field,フィールドの無効化
PDF,PDF,Sign,署名
PDF,PDF,Merge,結合
PDF,PDF,Extract Pages,ページの抽出
PDF,PDF,Replace,置換
PDF,PDF,Split,分割
PDF,PDF,Insert,挿入
PDF,PDF,Remove,除去
PDF,PDF,List Attachments,添付ファイルのリスト化
PDF,PDF,Get Attachment,添付ファイルの取得
PDF,PDF,Add Attachment,添付ファイルの追加
PDF,PDF,Delete Attachment,添付ファイルの削除
PDF,PDF,List Annotations,注釈のリスト化
PDF,PDF,Add Annotation,注釈の追加
PDF,PDF,Delete Annotation,注釈の削除
PowerShell,PowerShell,Run Script,スクリプトの実行
Printer,プリンター,Set Default Printer,デフォルト プリンターの設定
Printer,プリンター,Delete,削除
Printer,プリンター,Get Printer Info,プリンター情報の取得
Processes,プロセス,Get Information,情報の取得
Processes,プロセス,Start,開始
Processes,プロセス,End,終了
Processes,プロセス,Set Priority,優先度の設定
Processes,プロセス,Set Affinity,親和性の設定
Registry,レジストリ,Create Key,キーの作成
Registry,レジストリ,Delete Key,キーの削除
Registry,レジストリ,Rename Key,キーの名前変更
Registry,レジストリ,Read Value,値の読込み
Registry,レジストリ,Create Value,値の作成
Registry,レジストリ,Delete Value,値の削除
Registry,レジストリ,Rename Value,値の名前変更
Registry,レジストリ,Get Value,値の取得
Run,実行,Run,実行
Security,セキュリティ,Generate Password,パスワードの生成
Security,セキュリティ,Authenticate,認証
Select,Select,Begin select,
Select,Select,Begin case,
Select,Select,End case,
Select,Select,End select,
Services,サービス,Start,開始
Services,サービス,Stop,停止
Services,サービス,Pause,一時停止
Services,サービス,Resume,再開
Services,サービス,Install,インストール
Services,サービス,Uninstall,アンインストール
Services,サービス,Get Status,状態の取得
Services,サービス,List Status,状態のリスト化
SharePoint,SharePoint,Create Session,セッションの作成
SharePoint,SharePoint,End Session,セッションの終了
SharePoint,SharePoint,Get File,ファイルの取得
SharePoint,SharePoint,Download File,ファイルのダウンロード
SharePoint,SharePoint,Upload File,ファイルのアップロード
SharePoint,SharePoint,Delete File,ファイルの削除
SharePoint,SharePoint,Check In,チェックイン
SharePoint,SharePoint,Check Out,チェックアウト
SharePoint,SharePoint,Discard Check Out,チェックアウトの破棄
SharePoint,SharePoint,Copy File,ファイルのコピー
SharePoint,SharePoint,Move File,ファイルの移動
SharePoint,SharePoint,Get Folder,フォルダーの取得
SharePoint,SharePoint,Create Folder,フォルダーの作成
SharePoint,SharePoint,Delete Folder,フォルダーの削除
SharePoint,SharePoint,Rename Folder,フォルダー名の変更
SharePoint,SharePoint,Get List,リストの取得
SharePoint,SharePoint,Create List,リストの作成
SharePoint,SharePoint,Delete List,リストの削除
SharePoint,SharePoint,Update List,リストの更新
SharePoint,SharePoint,Describe List,リストの記述
SharePoint,SharePoint,Get List Item,リスト アイテムの取得
SharePoint,SharePoint,Add List Item,リスト アイテムの追加
SharePoint,SharePoint,Clear List Item,リスト アイテムの消去
SharePoint,SharePoint,Update List Item,リスト アイテムの更新
SharePoint,SharePoint,Get Attachment,添付ファイルの取得
SharePoint,SharePoint,Add Attachment,添付ファイルの追加
SharePoint,SharePoint,Download Attachment,添付ファイルのダウンロード
SharePoint,SharePoint,Delete Attachment,添付ファイルの削除
SharePoint,SharePoint,Search Site,サイトの検索
SharePoint,SharePoint,Get Site,サイトの取得
SharePoint,SharePoint,Create Site,サイトの作成
SharePoint,SharePoint,Delete Site,サイトの削除
SharePoint,SharePoint,Update Site,サイトの更新
SharePoint,SharePoint,List Audit Logs,監査ログのリスト化
SharePoint,SharePoint,Backup Site,サイトのバックアップ
SharePoint,SharePoint,Restore Site,サイトの復元
SharePoint,SharePoint,List User Alerts,ユーザーアラートのリスト化
SharePoint,SharePoint,Create User Alert,ユーザーアラートの作成
SharePoint,SharePoint,Update User Alert,ユーザーアラートの更新
SharePoint,SharePoint,Delete User Alert,ユーザーアラートの削除
SharePoint,SharePoint,Get Workflow,ワークフローの取得
SharePoint,SharePoint,Get Workflow Instance,ワークフロー インスタンスの取得
SharePoint,SharePoint,Start Workflow,ワークフローの開始
SharePoint,SharePoint,Cancel Workflow,ワークフローのキャンセル
SharePoint,SharePoint,Resume Workflow,ワークフローの再開
SharePoint,SharePoint,Pause Workflow,ワークフローの一時停止
SharePoint,SharePoint,End Workflow,ワークフローの終了
SharePoint,SharePoint,Get View,ビューの取得
SharePoint,SharePoint,Add View,ビューの追加
SharePoint,SharePoint,Update View,ビューの更新
SharePoint,SharePoint,Delete View,ビューの削除
SharePoint,SharePoint,Get Group,グループの取得
SharePoint,SharePoint,Create Group,グループの作成
SharePoint,SharePoint,Delete Group,グループの削除
SharePoint,SharePoint,Update Group,グループの更新
SharePoint,SharePoint,Get User,ユーザーの取得
SharePoint,SharePoint,Add User to Group,グループへのユーザー追加
SharePoint,SharePoint,Remove User from Group,グループからのユーザー除去
SharePoint,SharePoint,Get Role,ロールの取得
SharePoint,SharePoint,Create Role,ロールの作成
SharePoint,SharePoint,Delete Role,ロールの削除
SharePoint,SharePoint,Update Role,ロールの更新
SharePoint,SharePoint,Grant Permission,権限の付与
SharePoint,SharePoint,Remove Permission,権限の除去
SNMP,SNMP,Send Trap,Send trap
SNMP,SNMP,Set,Set
SNMP,SNMP,Get,Get
SNMP,SNMP,Get Next,Get Next
SNMP,SNMP,Get Bulk,Get bulk
SNMP,SNMP,Walk,Walk
Task,タスク,Start Subtask,サブタスクの開始
Task,タスク,Stop,停止
Task,タスク,Run,実行
Task,タスク,Enable/Disable,有効/無効
Task,タスク,Call Function,関数の呼出し
Terminal,ターミナル,Connect,接続
Terminal,ターミナル,Disconnect,切断
Terminal,ターミナル,Send Text,テキストの送信
Terminal,ターミナル,Get Text,テキストの取得
Terminal,ターミナル,Wait Condition,待機条件
Terminal,ターミナル,Control,コントロール
Text,テキスト,Padding,パディング
Text,テキスト,Convert Case,大文字小文字の変換
Text,テキスト,Get Substring,サブストリングの取得
Text,テキスト,Format Path,パスの書式設定
Timer,タイマー,Start,開始
Timer,タイマー,Stop,停止
Timer,タイマー,Read,読取り
Type,タイプ,Define,定義
Type,タイプ,Import,インポート
Type,タイプ,Create Object,オブジェクトの作成
Variable,変数,Create,作成
Variable,変数,Set,セット
Variable,変数,Increment,増加
Variable,変数,Decrement,減少
Variable,変数,Return Value,戻り値
VMware Guest,VMware ゲスト,Connect,接続
